,H_within,H_without
p_325,0.6666666666666666,0.9166666666666666
p_328,0.8333333333333334,0.9166666666666666
p_329,0.3333333333333333,0.75
p_330,1.0,1.0
p_335,1.0,1.0
p_336,1.0,1.0
p_337,1.0,1.0
p_338,1.0,1.0
p_339,0.6666666666666666,0.5
p_341,1.0,1.0
p_342,0.6666666666666666,0.75
p_343,0.6666666666666666,0.75
p_347,0.8333333333333334,1.0
p_348,0.8333333333333334,0.9166666666666666
p_349,0.6666666666666666,0.6666666666666666
p_350,0.8333333333333334,1.0
p_351,1.0,1.0
p_358,0.8333333333333334,0.8333333333333334
p_359,1.0,0.75
p_363,0.6666666666666666,0.9166666666666666
p_369,0.5,0.5833333333333334
p_370,0.5,0.75
p_371,1.0,0.9166666666666666
p_372,0.6666666666666666,0.8333333333333334
p_376,0.6666666666666666,0.5833333333333334
p_378,1.0,1.0
p_382,0.6666666666666666,1.0
p_385,1.0,0.8333333333333334
p_387,0.3333333333333333,0.6666666666666666
p_397,1.0,0.9166666666666666
p_400,0.5,0.3333333333333333
p_404,0.16666666666666666,0.25
